Word,Definition
Downburst,A strong downdraft resulting in an outward burst of damaging winds on or near the ground. Downburst winds can produce damage similar to a strong tornado.
Downdraft,"A column of generally cool air that rapidly sinks to the ground, usually accompanied by precipitation as in a shower or thunderstorm."
Downslope wind,Air that descends an elevated plain and consequently warms and dries. Occurs when prevailing wind direction is from the same direction as the elevated terrain and often produces fair weather conditions.
Draft,A draft is a small gusty air current that moves upward or downward abruptly; hence the terms updraft and downdraft.
Drifting snow,"Uneven distribution of snowfall caused by strong surface winds. Drifting snow does not reduce visibility. In Canada, it is defined as snow blown to a height of less than two meters."
Drizzle,"Small, slowly falling water droplets, with diameters between .2 and .5 millimeters. In Australia, it is defined as fairly uniform precipitation (rain) composed exclusively of very small water droplets (less than 0.5 mm in diameter) very close to one another."
Drought,"Abnormally dry weather in a region over an extended period sufficient to cause a serious hydrological (water cycle) imbalance in the affected area. This can cause such problems as crop damage and water-supply shortage. In Australia, it is defined as the prolonged absence or marked deficiency of precipitation (rain)."
Dry,Free from rain. Normally used when preceding weather has also been relatively dry and dry weather is expected to continue for a day or so.
Dust storm,"An area where high surface winds have picked up loose dust, reducing visibility to less than one-half mile. In Australia, it is described as a storm which carries large amounts of dust into the atmosphere."
Early,Until two hours after sunrise.
El Niño,"A major warming of theequatorial waters in the eastern Pacific Ocean. El Niño events usually occur every three to seven years, and are related to shifts in global weather patterns. (Spanish for the ""Christ Child” because it often begins around Christmas.)"
Evaporation,The process of a liquid changing into a vapor or gas.
Evening,Sunset to midnight.
Extended outlook,A basic forecast of general weather conditions three to five days in the future.
Extratropical cyclone,"A storm that forms outside the tropics, sometimes as a tropical storm or hurricane changes. See table below for differences between extratropical and tropical cyclones."
Fahrenheit,The standard scale used to measure temperature in the United States; in which the freezing point of water is 32 degrees and the boiling point is 212 degrees.
Fair,"Describes weather in which there is less than 4/10ths of opaque cloud cover, no precipitation, and there is no extreme visibility, wind or temperature conditions."
Fall wind,"A strong, cold, downslope wind."
Fine,"No rain or other precipitation (hail, snow etc.). The use of fine is generally avoided in excessively cloudy, windy, foggy or dusty conditions. In particular note that fine means the absence of rain or other precipitation such as hail or snow - not 'good' or 'pleasant' weather."
Flash flood,"A flood that occurs within a few hours (usually less than six) of heavy or excessive rainfall, dam or levee failure or water released from an ice jam."
Flood,A condition that occurs when water overflows the natural or artificial confines of a stream or river; the water also may accumulate by drainage over low-lying areas.
Flood crest,The highest stage or flow occurring in a flood.
Flurry,A flurry or snow shower is a snowfall that suddenly stops and starts and changes rapidly in intensity; the accumulation and extent of the snow are limited.
Fog,"Water that has condensed close to ground level, producing a cloud of very small droplets that reduces visibility to less than one km (three thousand and three hundred feet). In Canada, fog is defined as a cloud at ground level, and occurs when air is cooled to its dew point and below, or when atmospheric moisture increases through evaporation from water that is warmer than the air. In the United Kingdom, fog is described to occur when visibility less than one kilometer. In Australia, it is defined as a dense mass of small water droplets or particles in the lower atmosphere."
Fogbow,"A rainbow that has a white band that appears in fog, and is fringed with red on the outside and blue on the inside."
Forecast,"A forecast provides a description of the most significant weather conditions expected during the current and following days. The exact content depends upon the intended user, such as the Public or Marine forecast audiences."
Freeze,"Occurs when the surface air temperature is expected to be 32 degrees Fahrenheit or below over a widespread area for a significant period of time. In Australia, the term “freeze” is defined as the change from a liquid to a solid."
Freezing,The change in a substance from a liquid to a solid state.
Freezing drizzle,"Drizzle that falls in liquid form and then freezes upon impact with the ground or an item with a temperature of 32 degrees Fahrenheit or less, possibly producing a thin coating of ice. Even in small amounts, freezing drizzle may cause traveling problems."
Freezing fog,"A suspension of numerous minute ice crystals in the air, or water droplets at temperatures below zero degrees Celsius, based at the Earth's surface, which reduces horizontal visibility; also called ice fog."
Freezing level,The altitude in the atmosphere where the temperature drops to 32F.
Freezing rain,"Rain that freezes on objects such as trees, cars and roads, forming a coating or glaze of ice. Temperatures at higher levels are warm enough for rain to form, but surface temperatures are below 32 degrees Fahrenheit, causing the rain to freeze on impact. In Canada, freezing rain is described to occur when the air temperature is below zero Celsius near the ground but above zero Celsius higher up."
Front,"The boundary or transition zone between two different air masses. The basic frontal types are cold fronts, warm fronts and occluded fronts."
Frost,The formation of thin ice crystals on the ground or other surfaces. Frost develops when the temperature of the exposed surface falls below 32 degrees Fahrenheit and water vapor is deposited as a solid.
Frost point,When the temperature to which air must be cooled to in order to be saturated is below freezing.
Fujita scale,System developed by Dr Theodore Fujita to classify tornadoes based on wind damage. Scale is from F0 for weakest to F5 for strongest tornadoes.
Fujiwhara effect,The Fujiwhara effect describes the rotation of two storms around each other.
Funnel cloud,"A rotating, cone-shaped column of air extending downward from the base of a thunderstorm but not touching the ground. When it reaches the ground it is called a tornado."
Gale warning,Sustained wind speeds from 34 to 47 knots (39 to 54 mph).
Glaze,"a layer or coating of ice that is generally smooth and clear, and forms on exposed objects by the freezing of liquid raindrops."
Global warming,A theory that increased concentrations of greenhouse gases are causing an elevation in the Earth's surface temperature.
Good visibility,More than 10 kilometers.
Greenhouse effect,The warming of the atmosphere by the trapping of longwave radiation (heat) being radiated to space. The gases most responsible for this effect are water vapor and carbon dioxide.
Ground fog,Shallow fog (less than twenty feet deep) produced over the land by the cooling of the lower atmosphere as it comes in contact with the ground. Also known as radiation fog.
Gust,"A brief sudden increase in wind speed. Generally the duration is less than 20 seconds and the fluctuation greater than 10 miles per hour. In Canada, gust is defined as a sudden, brief increase in wind speed that generally lasts less than 20 seconds. In Australia, gust is defined as any sudden increase of wind of short duration, usually a few seconds."
Gustnado,"Gust front tornado. A small tornado, usually weak and short-lived, that occurs along the gust front of a thunderstorm. Often it is visible only as a debris cloud or dust whirl near the ground."
Hail,"Precipitation in the form of balls or irregular lumps of ice produced by liquid precipitation, freezing and being coated by layers of ice as it is lifted and cooled in strong updrafts of thunderstorms."
Haze,"Fine dust or salt particles in the air that reduce visibility. In Canada, haze is defined to consist of fine particles of dust and pollution suspended in the atmosphere, and is distinguished from fog by its bluish or yellowish tinge."
Heat balance,The equilibrium existing between the radiation received and emitted by a planetary system.
Heat index,An index that combines air temperature and humidity to give an apparent temperature (how hot it feels).
Heat island,A dome of elevated temperatures over an urban area caused by the heat absorbed by structures and pavement.
Heat lightning,"Lightning that can be seen, but is too far away for the thunder to be heard."
Heat wave,A period of abnormally hot weather lasting several days.
Heavy snow,"Depending on the region of the USA, this generally means that four or more inches of snow has accumulated in 12 hours, or six or more inches of snow in 24 hours."
Heavy snow warning,Older terminology replaced by winter storm warning for heavy snow. Issued when seven or more inches of snow or sleet is expected in the next 24 hours. A warning is used for winter weather conditions posing a threat to life and property.
Heavy surf,the result of large waves breaking on or near the shore resulting from swells or produced by a distant storm.
High,"An area of high pressure, usually accompanied by anticyclonic and outward wind flow. Also known as an anticyclone. In Canada, a high is described as an area of high atmospheric pressure with a closed, clockwise movement of air."
High cloud,"Cirrus, cirrostratus and cirrocumulus."
High risk (of severe thunderstorm),Severe weather is expected to affect more than 10 percent of the area.
High wind warning,Issued when sustained winds from 40 to 73 mph are expected for at least one hour; or any wind gusts are expected to reach 58 miles per hour or more.
High wind watch,"Issued when conditions are favorable for the development of high winds over all of or part of the forecast area but the occurrence is still uncertain. The criteria of a high wind watch are listed under the high wind warning and should include the area affected, the reason for the watch and the potential impact of the winds."
Hot or very warm,"In summer, hot or very warm means more than seven degrees Celsius above normal."
Hot spot,"Typically large areas of pavement, these ""hot spots"" are heated much quicker by the sun than surrounding grasses and forests. As a result, air rises upwards from the relatively hot surface of the pavement, reaches its condensation level, condenses, and forms a cloud above the ""hot spot""."
Humidity,"The amount of water vapor in the atmosphere. In Canada, it is described as the amount of moisture in the air."
Hurricane,A severe tropical cyclone with sustained winds over 74 miles per hour (64 knots). Normally applied to such storms in the Atlantic Basin and the Pacific Ocean east of the International Date Line.
Hygrometer,An instrument used to measure humidity.
Ice crystals,Ice crystals are tiny sprinkles that sparkle in the sunshine like diamond dust and hang in the air.
Ice fog,"A suspension of numerous minute ice crystals in the air, or water droplets at temperatures below zero degrees Celsius, based at the Earth's surface, which reduces horizontal visibility. Usually occurs at -20 degrees Fahrenheit and below."
Ice pellets,"Precipitation of transparent or translucent pellets of ice, which are round or irregular, rarely conical, and which have a diameter of 0.2 inch (five millimeters), or less. There are two main types. Hard grains of ice consisting of frozen raindrops and pellets of snow encased in a thin layer of ice."
Ice storm,Liquid rain falling and freezing on contact with cold objects creating ice build-ups of 1/4th inch or more that can cause severe damage.
Ice storm warning,Older terminology replaced by winter storm warning for severe icing. Issued when 1/2 inch or more of accretion of freezing rain is expected. This may lead to dangerous walking or driving conditions and the pulling down of power lines and trees. A warning is used for winter weather conditions posing a threat to life and property.
Indian summer,"An unseasonably warm period near the middle of autumn, usually following a substantial period of cool weather."
Inflow bands (or feeder bands),"Bands of low clouds, arranged parallel to the low-level winds and moving into or toward a thunderstorm."
Insolation,Incoming solar radiation. Solar heating; sunshine.
Instability,"A state of the atmosphere in which convection takes place spontaneously, leading to cloud formation and precipitation."
Intermittent rain,"Intermittent rain stops and starts repeatedly, although not as abruptly or as frequently as showers."
Intertropical Convergence Zone (ITCZ),"The region where the northeasterly and southeasterly trade winds converge, forming an often continuous band of clouds or thunderstorms near the equator."
Inversion,"An increase in temperature with height. The reverse of the normal cooling with height in the atmosphere. Temperature inversions trap atmospheric pollutants in the lower troposphere, resulting in higher concentrations of pollutants at ground levels than would usually be experienced."
Iridescence,Brilliant patches of green or pink sometimes seen near the edges of high- or medium-level clouds.
Isentropic lift,Lifting of air that is traveling along an upward-sloping isentropic surface. Situations involving isentropic lift often are characterized by widespread stratiform clouds and precipitation.
Jet stream,"Strong winds concentrated within a narrow band in the upper atmosphere. It normally refers to horizontal, high-altitude winds. The jet stream often ""steers"" surface features such as front and low pressure systems."
Katabatic,"Wind blowing down an incline, such as down a hillside; downslope wind."
Katafront,A front (usually a cold front) at which the warm air descents the frontal surface.
Killing frost,"Frost severe enough to end the growing season. This usually occurs at temperatures below 28 degrees Fahrenheit. In Canada, a killing frost is described as a frost severe enough to destroy annual plants and new growth on trees (in the spring) or to end the growing season (in the fall)."
Knot,A measure of speed. It is one nautical mile per hour (1.15 miles per hour). A nautical mile is one minute of one degree of latitude.
La Niña,A cooling of the equatorial waters in the Pacific Ocean.
Land breeze,A wind that blows from the land towards a body of water. Also known as an offshore breeze. It occurs when the land is cooler than the water.
Late,"From sunset (winter), from two hours before sunset (summer)."
Leeward,Situated away from the wind; downwind - opposite of windward.
Left Mover,A thunderstorm which moves to the left relative to the steering winds and to other nearby thunderstorms; often the northern part of a splitting storm.
Lifting,The forcing of air in a vertical direction by an upslope in terrain or by the movement of a denser air mass.
Lifting condensation level,"The level in the atmosphere where a lifted air parcel reaches its saturation point, and as a result, the water vapor within condenses into water droplets."
Lightning,Any form of visible electrical discharges produced by thunderstorms.
Likely,"In probability of precipitation statements, the equivalent of a 60 or 70 percent chance."
Low,"An area of low pressure, usually accompanied by cyclonic and inward wind flow. Also known as a cyclone."
Low cloud,"Stratus, stratocumulus, cumulus and cumulonimbus."
Low-level jet,A region of relatively strong winds in the lower part of the atmosphere.
Mainly cloudy,More than half cloud cover but with some breaks in the cloud. It can also be described as cloudy with some sunny periods.
Mainly sunny,Mainly sunny means sunny with some cloudy periods.
Mammatus (or mamma clouds),"These clouds appear as hanging, rounded protuberances or pouches on the under-surface of a cloud. With thunderstorms, mammatus are seen on the underside of the anvil. These clouds do not produce tornadoes, funnels, hail, or any other type of severe weather, although they often accompany severe thunderstorms."
Maritime air mass,"An air mass that forms over water. It is usually humid, and may be cold or warm."
Maximum temperature,The highest temperature during a specified time period.
Mean temperature,"The average of a series of temperatures taken over a period of time, such as a day or a month."
Medium cloud,"Altostratus, altocumulus and nimbostratus."
Meteorology,"The study of the physics, chemistry, and dynamics of the atmosphere and the direct effects of the atmosphere upon the Earth's surface, the oceans, and life in general."
Mild,"In winter, mild refers to four to seven degrees Celsius above normal."
Minimum temperature,The lowest temperature during a specified time period.
Mist,"Consists of microscopic water droplets suspended in the air, which produces a thin grayish veil over the landscape. It reduces visibility to a lesser extent than fog. In Australia, it is described as similar to fog, but visibility remains more than a kilometer."
Moderate risk,Severe thunderstorms are expected to affect between five and 10 percent of the area.
Moderate visibility,Five to 10 kilometers’ visibility.
Monsoon,"A persistent seasonal wind, often responsible for seasonal precipitation regime. It is most commonly used to describe meteorological changes in southern and eastern Asia."
Morning,Sunrise to noon or midnight to noon depending on context.
Mountain breeze,System of winds that blow downhill during the night.
Muggy,Colloquially descriptive of warm and especially humid weather.
Multivortex tornado,"A tornado in which two or more condensation funnels or debris clouds are present at the same time, often rotating about a common center or about each other. Multiple-vortex tornadoes can be especially damaging."
Mushroom,"A thunderstorm with a well-defined anvil rollover, and thus having a visual appearance resembling a mushroom."
"Night, overnight",Sunset to sunrise.
No weather data available,No weather information available for this time slot.
Normal,"The long-term average value of a meteorological element for a certain area. For example, ""temperatures are normal for this time of year"" Usually averaged over 30 years."
Offshore breeze,A wind that blows from the land towards a body of water. Also known as a land breeze.
Offshore forecast,A marine weather forecast for the waters between 60 and 250 miles off the coast.
Onshore breeze,A wind that blows from a body of water towards the land. Also known as a sea breeze.
Outflow,Air that flows outward from a thunderstorm.
Outflow winds,Winds that blow down fjords and inlets from the land to the sea.
Overcast,"Sky condition when greater than 9/10ths of the sky is covered by clouds. In Canada overcast means grey and dull skies, with extensive cloud cover."
Overrunning,"A condition that exists when a relatively warm air mass moves up and over a colder and denser air mass on the surface. The result is usually low clouds, fog and steady, light precipitation."
Ozone,"A form of oxygen in which the molecule is made of three atoms instead of the usual two. Ozone is usually found in the stratosphere, and responsible for filtering out much of the sun's ultraviolet radiation. It is also a primary component of smog."
Ozone hole,"A thinning of the ozone layer over Antarctica, which occurs each spring."
Partly cloudy,"Sky condition when between 3/10ths and 7/10ths of the sky is covered. Used more frequently at night. In the United Kingdom, it is defined as less than half cloud cover."
Partly sunny,Similar to partly cloudy. Used to emphasize daytime sunshine.
Permafrost,A soil layer below the surface of tundra regions that remains frozen permanently.
Polar air,"A mass of very cold, very dry air that forms in polar regions."
Polar front,"The semi-permanent, semi-continuous front that encircles the northern hemisphere separating air masses of tropical and polar origin."
Polar Stratospheric Clouds (PSCs),High altitude clouds that form in the stratosphere above Antarctica during the Southern Hemisphere winter. Their presence seems to initiate the ozone loss experienced during the ensuing southern hemisphere spring.
Polar vortex,"A circumpolar wind circulation which isolates the Antarctic continent during the cold Southern Hemisphere winter, heightening ozone depletion."
Poor visibility,One to five kilometers’ visibility.
POP,Probability of Precipitation. Probability forecasts are subjective estimates of the chances of encountering measurable precipitation at some time during the forecast period.
Popcorn convection,"Clouds, showers and thundershowers that form on a scattered basis with little or no apparent organization, usually during the afternoon in response to diurnal heating."
Precipitation,Liquid or solid water that falls from the atmosphere and reaches the ground.
Pressure,The force exerted by the interaction of the atmosphere and gravity. Also known as atmospheric pressure.
Pressure change,The net difference between pressure readings at the beginning and ending of a specified interval of time.
Pressure falling rapidly,A decrease in station pressure at a rate of 0.06 inch of mercury or more per hour which totals 0.02 inches or more.
Pressure rising rapidly,An increase in station pressure at a rate of 0.06 inch of mercury or more per hour which totals 0.02 inches or more.
Pressure tendency,"The character and amount of atmospheric pressure change during a specified period of time, usually the three-hour period preceding an observation."
Prevailing westerlies,Winds in the middle latitudes (approximately 30 degrees to 60 degrees) that generally blow from west to east.
Prevailing wind,The direction from which the wind blows most frequently in any location.
Pulse storm,"A thunderstorm within which a brief period (pulse) of strong updraft occurs, during and immediately after which the storm produces a short episode of severe weather. These storms generally are not tornado producers, but often produce large hail and/or damaging winds. See overshooting top, cyclic storm."
Qualitative forecasts,Forecasts that provide only a categorical value for the predicted variable. Examples of this include “rain/no rain” and “cloudy/partly cloudy”.
Quantitative forecasts,Forecasts in which the “amount” of the forecast variable is specified.
Quantitative precipitation forecast (QPF),"A forecast of rainfall, snowfall or liquid equivalent of snowfall."
Quasi-biennial oscillation (QBO),"Periodic variation in the direction, either easterly or westerly, of tropical lower stratospheric winds. The direction changes every 26 months."
Quasi-nonhydrostatic (QNH),"Pilots, air traffic control (ATC) and low frequency weather beacons use this pressure setting to refer to the barometric altimeter setting that causes the altimeter to read altitude above mean sea level within a certain defined region."
Quasi-stationary front,A front which is nearly stationary or moves very little since the last synoptic position. Also known as a stationary front.
Radar,An instrument used to detect precipitation by measuring the strength of the electromagnetic signal reflected back. (RADAR= Radio Detection and Ranging).
Radiation,Energy emitted in the form of electromagnetic waves. Radiation has differing characteristics depending upon the wavelength. Radiation from the Sun has a short wavelength (ultra-violet) while energy re-radiated from the Earth's surface and the atmosphere has a long wavelength (infra-red).
Radiation fog,Fog produced over the land by the cooling of the lower atmosphere as it comes in contact with the ground. Also known as ground fog.
Rain,"Liquid water droplets that fall from the atmosphere, having diameters greater than drizzle (0.5 mm). In Canada the term ""rain"", used alone, means liquid precipitation of significant duration and extent."
Rain gauge,An instrument used to measure rainfall amounts.
Rain showers,"Rain showers stop and start suddenly and vary widely in intensity, and are gone in less than an hour."
Rainbow,"Optical phenomena when light is refracted and reflected by moisture in the air into concentric arcs of color. Raindrops act like prisms, breaking the light into the colors of a rainbow, with red on the outer, and blue on the inner edge."
Relative humidity,"The amount of water vapor in the air, compared to the amount the air could hold if it was totally saturated. It is expressed as a percentage."
Return flow,South winds on the back (west) side of an eastward-moving surface high pressure system. Return flow over the central and eastern United States typically results in a return of moist air from the Gulf of Mexico (or the Atlantic Ocean).
Ridge,An elongated area of high pressure in the atmosphere. Opposite of a trough.
River flood warning,Issued when main stem rivers are expected to reach a level above flood stage.
Roll cloud,"A relatively rare, low-level horizontal, tube-shaped accessory cloud completely detached from the cumulonimbus base. When present, it is located along the gust front and most frequently observed on the leading edge of a line of thunderstorms. The roll cloud will appear to be slowly ""rolling"" about its horizontal axis. Roll clouds are not and do not produce tornadoes."
Sandstorm,"Particles of sand carried aloft by a strong wind. The sand particles are mostly confined to the lowest ten feet, and rarely rise more than fifty feet above the ground."
Saturation,A condition of the atmosphere in which a certain volume of air holds the maximum water vapor it can hold at a specific temperature.
Scattered,A cloud layer that covers between 3/8ths and 1/2 of the sky.
Scud clouds,"Small, ragged, low cloud fragments that are unattached to a larger cloud base and often seen with and behind cold fronts and thunderstorm gust fronts. Such clouds generally are associated with cool moist air, such as thunderstorm outflow."
Sea breeze,A wind that blows from a sea or ocean towards a land mass. Also known as an onshore breeze. It occurs when the land is warmer than the water.
Sea-level pressure,The pressure value obtained by the theoretical reduction or increase of barometric pressure to sea-level.
Secondary cold front,A front that follows a primary cold front and ushers in even colder air.
Severe thunderstorm,A strong thunderstorm with wind gusts in excess of 58 mph (50 knots) and/or hail with a diameter of 3/4 inch or more.
Shallow fog,Fog in which the visibility at 6 feet above ground level is 5/8ths of a mile or more.
Shelf-cloud,A low-level horizontal accessory cloud that appears to be wedge-shaped as it approaches. It is usually attached to the thunderstorm base and forms along the gust front.
Short-fuse warning,"A warning issued by the National Weather Service for a local weather hazard of relatively short duration. Short-fuse warnings include tornado warnings, severe thunderstorm warnings, and flash flood warnings. Tornado and severe thunderstorm warnings typically are issued for periods of an hour or less, flash flood warnings typically for three hours or less."
Shower,"Precipitation that is intermittent, both in time, space or intensity."
Sky condition,"The state of the sky in terms of such parameters as sky cover, layers and associated heights, ceiling, and cloud types."
Sleet,"Rain drops that freeze into ice pellets before reaching the ground. Sleet usually bounces when hitting a surface and does not stick to objects. Forms when snow enters a warm layer of air above the surface and melts and then enters a deep layer of sub freezing air near the surface and refreezes. In Australia, sleet refers to a mixture of rain and snow or falling snow that is melting into rain."
Slight chance,"In probability of precipitation statements, usually equivalent to a 20 percent chance."
Slight risk (of severe thunderstorms),Severe thunderstorms are expected to affect between two and five percent of the area. A slight risk generally implies that severe weather events are expected to be isolated.
Smog,"Pollution formed by the interaction of pollutants and sunlight (photochemical smog), usually restricting visibility, and occasionally hazardous to health."
Smoke,A suspension in the air of small particles produced by combustion. A transition to haze may occur when smoke particles have traveled great distances (25 to 100 statute miles or more) and when the larger particles have settled out and the remaining particles have become widely scattered through the atmosphere.
Snow,Frozen precipitation composed of ice particles in complex hexagonal patterns. Snow forms in cold clouds by the direct transfer of water vapor to ice.
Snow burst,"Very intense shower of snow, often of short duration, that greatly restricts visibility and produces periods of rapid snow accumulation."
Snow flurries,"Light snow showers, usually of an intermittent nature and short duration with no measurable accumulation."
Snow grains,"Light snow showers, usually of an intermittent nature and short duration with no measurable accumulation. In Canada, Snow grains are described as minute, white and opaque grains of ice. When they hit hard ground, they do not bounce or shatter. They usually fall in very small quantities, and never in the form of a shower."
Snow pellets,"Precipitation of white, opaque grains of ice. The grains are round or sometimes conical. Diameters range from about 0.08 to 0.2 inch (2 to 5 mm). In Canada, snow pellets are brittle and easily crushed; when they fall on hard ground, they bounce and often break up. They always occur in showers and are often accompanied by snowflakes or rain drops, when the surface temperature is around zero degrees Celsius."
Snow shower,Snow falling at varying intensities for brief periods of time. Some accumulation is possible.
